,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
332,103 ST-CORONA,04/06/2020,2282,21026,1202,0.05447941888619855
333,103 ST-CORONA,04/07/2020,2129,21026,1202,0.046761501210653755
334,103 ST-CORONA,04/08/2020,2042,21026,1202,0.0423728813559322
335,103 ST-CORONA,04/09/2020,1970,21026,1202,0.0387409200968523
336,103 ST-CORONA,04/10/2020,2045,21026,1202,0.04252421307506053
337,103 ST-CORONA,04/11/2020,1471,21026,1202,0.013569410815173526
338,103 ST-CORONA,04/12/2020,1202,21026,1202,0.0
339,103 ST-CORONA,04/13/2020,1704,21026,1202,0.025322841000807103
340,103 ST-CORONA,04/14/2020,2204,21026,1202,0.050544794188861986
341,103 ST-CORONA,04/15/2020,2185,21026,1202,0.0495863599677159
342,103 ST-CORONA,04/16/2020,2185,21026,1202,0.0495863599677159
343,103 ST-CORONA,04/17/2020,2344,21026,1202,0.05760694108151735
344,103 ST-CORONA,04/18/2020,1646,21026,1202,0.022397094430992737
345,103 ST-CORONA,04/19/2020,1299,21026,1202,0.004893058918482647
346,103 ST-CORONA,04/20/2020,2410,21026,1202,0.060936238902340595
347,103 ST-CORONA,04/21/2020,2382,21026,1202,0.05952380952380952
348,103 ST-CORONA,04/22/2020,2597,21026,1202,0.07036924939467312
349,103 ST-CORONA,04/23/2020,2719,21026,1202,0.07652340597255851
350,103 ST-CORONA,04/24/2020,2522,21026,1202,0.06658595641646489
351,103 ST-CORONA,12/28/2019,14003,21026,1202,0.6457324455205811
352,103 ST-CORONA,12/29/2019,10703,21026,1202,0.4792675544794189
353,103 ST-CORONA,12/30/2019,16794,21026,1202,0.7865213882163035
354,103 ST-CORONA,12/31/2019,16291,21026,1202,0.7611481033091203
355,104 ST,01/01/2020,1408,4640,212,0.27009936766034326
356,104 ST,01/02/2020,4094,4640,212,0.8766937669376694
357,104 ST,01/03/2020,4178,4640,212,0.8956639566395664
358,104 ST,01/04/2020,1933,4640,212,0.38866305329719963
359,104 ST,01/05/2020,1519,4640,212,0.29516711833785003
