,Station,Date,num_entries
567,116 ST,01/22/2020,29281
568,116 ST,01/23/2020,29108
569,116 ST,01/24/2020,29446
570,116 ST,01/25/2020,16303
571,116 ST,01/26/2020,15009
572,116 ST,01/27/2020,28503
573,116 ST,01/28/2020,30864
574,116 ST,01/29/2020,30889
575,116 ST,01/30/2020,30769
576,116 ST,01/31/2020,30515
577,116 ST,02/01/2020,17786
578,116 ST,02/02/2020,14802
579,116 ST,02/03/2020,29625
580,116 ST,02/04/2020,30693
581,116 ST,02/05/2020,31449
582,116 ST,02/06/2020,31076
583,116 ST,02/07/2020,30727
584,116 ST,02/08/2020,18445
585,116 ST,02/09/2020,14855
586,116 ST,02/10/2020,29667
587,116 ST,02/11/2020,30769
588,116 ST,02/12/2020,30852
589,116 ST,02/13/2020,31172
590,116 ST,02/14/2020,31339
591,116 ST,02/15/2020,16753
592,116 ST,02/16/2020,14901
593,116 ST,02/17/2020,18177
594,116 ST,02/18/2020,26016
595,116 ST,02/19/2020,27040
596,116 ST,02/20/2020,26995
597,116 ST,02/21/2020,26539
598,116 ST,02/22/2020,18255
599,116 ST,02/23/2020,14826
600,116 ST,02/24/2020,29971
601,116 ST,02/25/2020,30558
602,116 ST,02/26/2020,31017
603,116 ST,02/27/2020,31245
604,116 ST,02/28/2020,30976
605,116 ST,02/29/2020,17829
606,116 ST,03/01/2020,14611
607,116 ST,03/02/2020,29777
608,116 ST,03/03/2020,30771
609,116 ST,03/04/2020,30436
610,116 ST,03/05/2020,30656
611,116 ST,03/06/2020,29999
612,116 ST,03/07/2020,18153
613,116 ST,03/08/2020,14468
614,116 ST,03/09/2020,29126
615,116 ST,03/10/2020,29346
616,116 ST,03/11/2020,28632
617,116 ST,03/12/2020,26354
618,116 ST,03/13/2020,23447
619,116 ST,03/14/2020,12300
620,116 ST,03/15/2020,168636549
621,116 ST,03/16/2020,14528
622,116 ST,03/17/2020,12483
623,116 ST,03/18/2020,11809
624,116 ST,03/19/2020,10763
625,116 ST,03/20/2020,10020
626,116 ST,03/21/2020,5640
627,116 ST,03/22/2020,3721
628,116 ST,03/23/2020,5780
629,116 ST,03/24/2020,5886
630,116 ST,03/25/2020,5602
631,116 ST,03/26/2020,5529
632,116 ST,03/27/2020,4679
633,116 ST,12/28/2019,12639
634,116 ST,12/29/2019,12131
635,116 ST,12/30/2019,21915
636,116 ST,12/31/2019,21945
637,116 ST-COLUMBIA,01/01/2020,2689
638,116 ST-COLUMBIA,01/02/2020,7206
639,116 ST-COLUMBIA,01/03/2020,7124
640,116 ST-COLUMBIA,01/04/2020,3503
641,116 ST-COLUMBIA,01/05/2020,3234
642,116 ST-COLUMBIA,01/06/2020,9014
643,116 ST-COLUMBIA,01/07/2020,9765
644,116 ST-COLUMBIA,01/08/2020,10123
645,116 ST-COLUMBIA,01/09/2020,9911
646,116 ST-COLUMBIA,01/10/2020,9394
647,116 ST-COLUMBIA,01/11/2020,4070
648,116 ST-COLUMBIA,01/12/2020,3386
649,116 ST-COLUMBIA,01/13/2020,4824
650,116 ST-COLUMBIA,01/14/2020,10175
651,116 ST-COLUMBIA,01/15/2020,10708
652,116 ST-COLUMBIA,01/16/2020,10974
653,116 ST-COLUMBIA,01/17/2020,10096
654,116 ST-COLUMBIA,01/18/2020,4565
655,116 ST-COLUMBIA,01/19/2020,5155
656,116 ST-COLUMBIA,01/20/2020,6450
657,116 ST-COLUMBIA,01/21/2020,13228
658,116 ST-COLUMBIA,01/22/2020,13665
659,116 ST-COLUMBIA,01/23/2020,13755
660,116 ST-COLUMBIA,01/24/2020,13404
661,116 ST-COLUMBIA,01/25/2020,6295
662,116 ST-COLUMBIA,01/26/2020,5397
663,116 ST-COLUMBIA,01/27/2020,13457
664,116 ST-COLUMBIA,01/28/2020,14029
665,116 ST-COLUMBIA,01/29/2020,13972
666,116 ST-COLUMBIA,01/30/2020,14054
667,116 ST-COLUMBIA,01/31/2020,13408
668,116 ST-COLUMBIA,02/01/2020,7063
669,116 ST-COLUMBIA,02/02/2020,5055
670,116 ST-COLUMBIA,02/03/2020,13162
671,116 ST-COLUMBIA,02/04/2020,13472
672,116 ST-COLUMBIA,02/05/2020,14162
673,116 ST-COLUMBIA,02/06/2020,13810
674,116 ST-COLUMBIA,02/07/2020,12911
675,116 ST-COLUMBIA,02/08/2020,7100
676,116 ST-COLUMBIA,02/09/2020,5081
677,116 ST-COLUMBIA,02/10/2020,12945
678,116 ST-COLUMBIA,02/11/2020,13417
679,116 ST-COLUMBIA,02/12/2020,13835
680,116 ST-COLUMBIA,02/13/2020,13898
681,116 ST-COLUMBIA,02/14/2020,13456
682,116 ST-COLUMBIA,02/15/2020,6042
683,116 ST-COLUMBIA,02/16/2020,4839
684,116 ST-COLUMBIA,02/17/2020,9633
685,116 ST-COLUMBIA,02/18/2020,12927
686,116 ST-COLUMBIA,02/19/2020,13563
687,116 ST-COLUMBIA,02/20/2020,13623
688,116 ST-COLUMBIA,02/21/2020,13871
689,116 ST-COLUMBIA,02/22/2020,6239
690,116 ST-COLUMBIA,02/23/2020,4713
691,116 ST-COLUMBIA,02/24/2020,12639
692,116 ST-COLUMBIA,02/25/2020,13589
693,116 ST-COLUMBIA,02/26/2020,13761
694,116 ST-COLUMBIA,02/27/2020,14064
695,116 ST-COLUMBIA,02/28/2020,13513
696,116 ST-COLUMBIA,02/29/2020,6615
697,116 ST-COLUMBIA,03/01/2020,4737
698,116 ST-COLUMBIA,03/02/2020,12221
699,116 ST-COLUMBIA,03/03/2020,13096
700,116 ST-COLUMBIA,03/04/2020,12995
701,116 ST-COLUMBIA,03/05/2020,12765
702,116 ST-COLUMBIA,03/06/2020,12441
703,116 ST-COLUMBIA,03/07/2020,5851
704,116 ST-COLUMBIA,03/08/2020,4072
705,116 ST-COLUMBIA,03/09/2020,8481
706,116 ST-COLUMBIA,03/10/2020,8263
707,116 ST-COLUMBIA,03/11/2020,7906
708,116 ST-COLUMBIA,03/12/2020,6619
709,116 ST-COLUMBIA,03/13/2020,5172
710,116 ST-COLUMBIA,03/14/2020,1699
711,116 ST-COLUMBIA,03/15/2020,1215
712,116 ST-COLUMBIA,03/16/2020,2622
713,116 ST-COLUMBIA,03/17/2020,2055
714,116 ST-COLUMBIA,03/18/2020,1768
715,116 ST-COLUMBIA,03/19/2020,1531
716,116 ST-COLUMBIA,03/20/2020,1356
